key,kind,flag,english,urdu_draft,urdu_final_(edit_here),polish_draft,polish_final_(edit_here),notes
onboard.sak.bubble,html_text,,KiP! KiP! Ready to scan. Point me at a barcode and I'll tell you what's really in there.,KiP! KiP! اسکین کے لیے تیار۔ مجھے کسی بارکوڈ پر تانیں اور میں آپ کو بتاؤں گا کہ اس میں اصل میں کیا ہے۔,,"KiP! KiP! Gotowy do skanowania. Skieruj mnie na kod kreskowy, a powiem Ci, co naprawdę jest w środku.",,SaK speech bubble
onboard.sak.cta.gotit,html_text,,Got it,سمجھ گیا,,Rozumiem,,button
onboard.sak.cta.skip,html_text,,Skip,چھوڑیں,,Pomiń,,button
onboard.drroot.intro,html_text,,"And this is <strong>Dr RooT</strong>. The brains behind the operation. When you want to understand why something matters for your health, RooT has the answers. No jargon. No judgement. Just the truth.",اور یہ ہیں <strong>Dr RooT</strong>۔ اس سارے کام کے پیچھے کا دماغ۔ جب آپ سمجھنا چاہیں کہ کوئی چیز آپ کی صحت کے لیے کیوں اہم ہے، تو RooT کے پاس جواب ہیں۔ کوئی پیچیدہ اصطلاح نہیں۔ کوئی فیصلہ نہیں۔ بس سچ۔,,"A to jest <strong>Dr RooT</strong>. Mózg całej operacji. Gdy chcesz zrozumieć, dlaczego coś ma znaczenie dla Twojego zdrowia, RooT ma odpowiedzi. Bez żargonu. Bez oceniania. Tylko prawda.",,contains <strong>Dr RooT</strong> markup
onboard.drroot.name,html_text,,Dr RooT - Food Knowledge Guide,Dr RooT - کھانے کے علم کا رہنما,,Dr RooT - Przewodnik po wiedzy o żywności,,character name
onboard.drroot.bubble,html_text,,I'll show you what the numbers mean and why they matter. Tap my detail screen any time you want to go deeper.,میں آپ کو دکھاؤں گا کہ یہ اعداد کیا معنی رکھتے ہیں اور کیوں اہم ہیں۔ جب بھی آپ مزید گہرائی میں جانا چاہیں میری تفصیلی اسکرین پر ٹیپ کریں۔,,"Pokażę Ci, co oznaczają liczby i dlaczego mają znaczenie. Dotknij mojego ekranu szczegółów, kiedy tylko chcesz zgłębić temat.",,Dr RooT speech bubble
onboard.drroot.cta.scan,html_text,,Let's scan,آئیں اسکین کریں,,Skanujmy,,button
onboard.firstscan.bubble,html_text,,Let's try it. Grab something from your cupboard and scan it. This is your first step to knowing what's really in your food.,آئیں اسے آزماتے ہیں۔ اپنی الماری سے کوئی چیز اٹھائیں اور اسے اسکین کریں۔ یہ یہ جاننے کی طرف آپ کا پہلا قدم ہے کہ آپ کے کھانے میں اصل میں کیا ہے۔,,"Spróbujmy. Weź coś z szafki i zeskanuj. To Twój pierwszy krok do poznania tego, co naprawdę jest w Twoim jedzeniu.",,KiP speech bubble
onboard.firstscan.cta,html_text,,Scan my first product,میری پہلی پروڈکٹ اسکین کریں,,Zeskanuj mój pierwszy produkt,,button
scanner.stats.btn,html_text,keep-verbatim,"<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" xmlns=""http://www.w3.org/2000/svg""><rect x=""3"" y=""14"" width=""4"" height=""7"" rx=""1"" fill=""#2D9B6F""/><rect x=""10"" y=""9"" width=""4"" height=""12"" rx=""1"" fill=""#F5A623""/><rect x=""17"" y=""5"" width=""4"" height=""16"" rx=""1"" fill=""#2D9B6F""/></svg> Stats","<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" xmlns=""http://www.w3.org/2000/svg""><rect x=""3"" y=""14"" width=""4"" height=""7"" rx=""1"" fill=""#2D9B6F""/><rect x=""10"" y=""9"" width=""4"" height=""12"" rx=""1"" fill=""#F5A623""/><rect x=""17"" y=""5"" width=""4"" height=""16"" rx=""1"" fill=""#2D9B6F""/></svg> اعداد و شمار",,"<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" xmlns=""http://www.w3.org/2000/svg""><rect x=""3"" y=""14"" width=""4"" height=""7"" rx=""1"" fill=""#2D9B6F""/><rect x=""10"" y=""9"" width=""4"" height=""12"" rx=""1"" fill=""#F5A623""/><rect x=""17"" y=""5"" width=""4"" height=""16"" rx=""1"" fill=""#2D9B6F""/></svg> Statystyki",,button label after inline SVG
scanner.history.btn,html_text,keep-verbatim,"<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#2D9B6F"" stroke-width=""2.5"" stroke-linecap=""round""><path d=""M12 8v4l3 3""/><circle cx=""12"" cy=""12"" r=""9""/></svg> History","<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#2D9B6F"" stroke-width=""2.5"" stroke-linecap=""round""><path d=""M12 8v4l3 3""/><circle cx=""12"" cy=""12"" r=""9""/></svg> تاریخچہ",,"<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#2D9B6F"" stroke-width=""2.5"" stroke-linecap=""round""><path d=""M12 8v4l3 3""/><circle cx=""12"" cy=""12"" r=""9""/></svg> Historia",,button label after inline SVG
scanner.play.btn,html_text,keep-verbatim,"<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#F5A623"" stroke-width=""2"" stroke-linecap=""round""><rect x=""4"" y=""4"" width=""16"" height=""16"" rx=""3""/><polygon points=""10,8 16,12 10,16"" fill=""#F5A623"" stroke=""none""/></svg> Play","<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#F5A623"" stroke-width=""2"" stroke-linecap=""round""><rect x=""4"" y=""4"" width=""16"" height=""16"" rx=""3""/><polygon points=""10,8 16,12 10,16"" fill=""#F5A623"" stroke=""none""/></svg> چلائیں",,"<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#F5A623"" stroke-width=""2"" stroke-linecap=""round""><rect x=""4"" y=""4"" width=""16"" height=""16"" rx=""3""/><polygon points=""10,8 16,12 10,16"" fill=""#F5A623"" stroke=""none""/></svg> Odtwórz",,button label after inline SVG
scanner.website.btn,html_text,keep-verbatim,"<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#2D9B6F"" stroke-width=""2"" stroke-linecap=""round""><circle cx=""12"" cy=""12"" r=""9""/><path d=""M3 12h18""/><path d=""M12 3a14 14 0 0 1 0 18 14 14 0 0 1 0-18""/></svg> Website","<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#2D9B6F"" stroke-width=""2"" stroke-linecap=""round""><circle cx=""12"" cy=""12"" r=""9""/><path d=""M3 12h18""/><path d=""M12 3a14 14 0 0 1 0 18 14 14 0 0 1 0-18""/></svg> ویب سائٹ",,"<svg viewBox=""0 0 24 24"" width=""16"" height=""16"" fill=""none"" stroke=""#2D9B6F"" stroke-width=""2"" stroke-linecap=""round""><circle cx=""12"" cy=""12"" r=""9""/><path d=""M3 12h18""/><path d=""M12 3a14 14 0 0 1 0 18 14 14 0 0 1 0-18""/></svg> Strona internetowa",,button label after inline SVG
scanner.tracker.sugar.val,js_template,keep-verbatim,{current}g / {limit}g,{current}g / {limit}g,,{current}g / {limit}g,,initial static '0g / 30g'; values updated by JS
scanner.tracker.sugar.default,html_text,,0g / 30g,0g / 30g,,0g / 30g,,Hardcoded initial daily-tracker display for sugar (#tracker-sugar-val). The unit 'g' and separator are part of rendered UI text; first pass captured only the {current}g/{limit}g template form.
scanner.tracker.salt.default,html_text,,0g / 6g,0g / 6g,,0g / 6g,,Hardcoded initial daily-tracker display for salt (#tracker-salt-val); distinct visible default-state text not represented by the captured template.
scanner.sak.name,html_text,keep-verbatim,SaK,SaK,,SaK,,character name
scanner.sak.prompt,html_text,,KiP! KiP! Point me at a barcode. I'll read it instantly.,KiP! KiP! مجھے کسی بارکوڈ پر تانیں۔ میں اسے فوراً پڑھ لوں گا۔,,KiP! KiP! Skieruj mnie na kod kreskowy. Odczytam go natychmiast.,,
scanner.tapstart.cta,html_text,,Tap to Start Camera,کیمرہ شروع کرنے کے لیے ٹیپ کریں,,"Dotknij, aby uruchomić aparat",,camera-start button main label (preceded by camera emoji span)
scanner.tapstart.hint,html_text,,"iOS needs a direct tap to enable camera. When prompted, choose <b>Allow</b>.",iOS کو کیمرہ فعال کرنے کے لیے براہِ راست ٹیپ درکار ہے۔ جب پوچھا جائے تو <b>اجازت دیں</b> کا انتخاب کریں۔,,"iOS wymaga bezpośredniego dotknięcia, aby włączyć aparat. Gdy pojawi się pytanie, wybierz <b>Zezwól</b>.",,contains <b>Allow</b> markup
scanner.hint,html_text,,Hold your camera steady over any food product barcode,اپنا کیمرہ کسی بھی کھانے کی پروڈکٹ کے بارکوڈ پر مستحکم رکھیں,,Trzymaj aparat nieruchomo nad kodem kreskowym dowolnego produktu spożywczego,,
scanner.manualentry.btn,html_text,,Type barcode manually instead,اس کے بجائے بارکوڈ خود ٹائپ کریں,,Zamiast tego wpisz kod kreskowy ręcznie,,button
scanner.taptostart.emoji,html_text,keep-verbatim,📷,📷,,📷,,camera emoji glyph; likely non-translatable
scanner.photolabel.btn,html_text,,📷 No barcode? Photograph the label,📷 بارکوڈ نہیں ہے؟ لیبل کی تصویر لیں,,📷 Brak kodu kreskowego? Sfotografuj etykietę,,"button, leading camera emoji"
scanner.retrycamera.btn,html_text,,Retry camera,کیمرہ دوبارہ آزمائیں,,Spróbuj ponownie uruchomić aparat,,"button, hidden by default"
result.product.name.default,html_text,,Product Name,پروڈکٹ کا نام,,Nazwa produktu,,placeholder text replaced by JS with scanned product name
result.back.aria,html_text,keep-verbatim,←,←,,←,,"back-arrow glyph (&larr;); decorative, non-translatable"
detail.char.name,html_text,keep-verbatim,Dr RooT,Dr RooT,,Dr RooT,,character name in detail header
detail.header.sub,html_text,,Full nutritional breakdown,مکمل غذائی تفصیل,,Pełna analiza wartości odżywczych,,detail screen subheading
stats.title,html_text,,Weekly Summary,ہفتہ وار خلاصہ,,Podsumowanie tygodniowe,,
manual.title,html_text,,Enter Barcode,بارکوڈ درج کریں,,Wpisz kod kreskowy,,
manual.sub,html_text,,Type or paste the barcode number from the product packaging. Usually 8 or 13 digits.,پروڈکٹ کی پیکنگ سے بارکوڈ نمبر ٹائپ کریں یا پیسٹ کریں۔ عام طور پر 8 یا 13 ہندسے۔,,Wpisz lub wklej numer kodu kreskowego z opakowania produktu. Zwykle 8 lub 13 cyfr.,,
manual.input.placeholder,html_attr,,e.g. 5000169021532,مثلاً 5000169021532,,np. 5000169021532,,placeholder attribute on barcode input
manual.btn.cancel,html_text,,Cancel,منسوخ کریں,,Anuluj,,
manual.btn.scan,html_text,,Scan it,اسے اسکین کریں,,Zeskanuj,,
contribute.title,html_text,,Add to the I500,I500 میں شامل کریں,,Dodaj do I500,,modal title; also set dynamically via #contribute-modal-title
contribute.sub,html_text,,This product isn't in the I500 database yet. Add the key nutrition values from the label and it's there for every CheckIT user who scans this barcode next.,یہ پروڈکٹ ابھی تک I500 ڈیٹابیس میں موجود نہیں ہے۔ لیبل سے اہم غذائی اقدار شامل کریں اور یہ ہر اُس CheckIT صارف کے لیے موجود ہو جائے گا جو آگے یہ بارکوڈ اسکین کرے گا۔,,"Tego produktu nie ma jeszcze w bazie I500. Dodaj kluczowe wartości odżywcze z etykiety, a będzie dostępny dla każdego użytkownika CheckIT, który następnym razem zeskanuje ten kod kreskowy.",,
contribute.field.name.label,html_text,,Product name,پروڈکٹ کا نام,,Nazwa produktu,,
contribute.field.name.placeholder,html_attr,,e.g. Brand Biscuits,مثلاً Brand Biscuits,,np. Markowe Herbatniki,,placeholder attribute
contribute.field.brand.label,html_text,,Brand,برانڈ,,Marka,,
contribute.field.brand.placeholder,html_attr,,e.g. McVitie's,مثلاً McVitie's,,np. McVitie's,,placeholder attribute; brand name example
contribute.field.sugar.label,html_text,,Sugar (g per 100g),چینی (g فی 100g),,Cukier (g na 100g),,
contribute.field.sugar.placeholder,html_attr,,e.g. 12.5,مثلاً 12.5,,np. 12.5,,placeholder attribute
contribute.field.salt.label,html_text,,Salt (g per 100g),نمک (g فی 100g),,Sól (g na 100g),,
contribute.field.salt.placeholder,html_attr,,e.g. 0.8,مثلاً 0.8,,np. 0.8,,placeholder attribute
contribute.field.satfat.label,html_text,,Saturated fat (g per 100g),سیر شدہ چکنائی (g فی 100g),,Tłuszcze nasycone (g na 100g),,
contribute.field.satfat.placeholder,html_attr,,e.g. 3.2,مثلاً 3.2,,np. 3.2,,placeholder attribute
contribute.field.kcal.label,html_text,,Energy (kcal per 100g),توانائی (kcal فی 100g),,Energia (kcal na 100g),,
contribute.field.kcal.placeholder,html_attr,,e.g. 420,مثلاً 420,,np. 420,,placeholder attribute
contribute.photo.label,html_text,,Or photograph the label,یا لیبل کی تصویر کھینچیں,,Albo sfotografuj etykietę,,
contribute.photo.btn,html_text,,Open camera for label photo,لیبل کی تصویر کے لیے کیمرہ کھولیں,,"Otwórz aparat, aby zrobić zdjęcie etykiety",,approx line; button after hidden file input
contribute.photo.captured,html_text,,Photo captured,تصویر کھینچ لی گئی,,Zrobiono zdjęcie,,approx line; shown after photo taken
contribute.btn.save,html_text,,Save,محفوظ کریں,,Zapisz,,line 932 in 930-960 block; submit contribution button
contribute.disclaimer,html_text,,"This goes to <strong style=""color:var(--emerald)"">KiP's I500 database</strong> &mdash; our own label-verified dataset for products the mainstream apps miss. Your contribution helps other shoppers in your community. It doesn't go to Open Food Facts.","یہ <strong style=""color:var(--emerald)"">KiP کے I500 ڈیٹابیس</strong> &mdash; ہمارے اپنے لیبل سے تصدیق شدہ ڈیٹاسیٹ میں جاتا ہے، اُن پروڈکٹس کے لیے جنہیں مرکزی دھارے کی ایپس چھوڑ دیتی ہیں۔ آپ کا تعاون آپ کی کمیونٹی کے دوسرے خریداروں کی مدد کرتا ہے۔ یہ Open Food Facts کو نہیں جاتا۔",,"To trafia do <strong style=""color:var(--emerald)"">bazy I500 KiP</strong> &mdash; naszego własnego, zweryfikowanego na podstawie etykiet zbioru danych o produktach, które pomijają popularne aplikacje. Twój wkład pomaga innym kupującym w Twojej społeczności. Nie trafia to do Open Food Facts.",,contains <strong> markup on 'KiP's I500 database' and &mdash;
loading.text,html_text,,Looking up product...,پروڈکٹ تلاش کیا جا رہا ہے...,,Wyszukiwanie produktu...,,loading overlay default text; updated dynamically
privacy.status.off,js_literal,,Sharing is OFF.,شیئرنگ بند ہے۔,,Udostępnianie jest WYŁĄCZONE.,,set in setOptedOut when sharing disabled
privacy.status.on,js_literal,,Sharing buying choices only — not personal data.,صرف خریداری کے انتخاب شیئر کیے جا رہے ہیں — ذاتی ڈیٹا نہیں۔,,Udostępniamy tylko decyzje zakupowe — nie dane osobowe.,,set in setOptedOut when sharing enabled; same string as footer default
privacy.firstScan.disclaimer,js_literal,,"We collect your buying choices, not your personal data. Tap Buy, Put back, or Just looking and KiP sends that tap to ScanSmart with the barcode and traffic-light reading. No name, no location, nothing that identifies you. Turn off in Settings → Privacy.",ہم آپ کے خریداری کے انتخاب جمع کرتے ہیں، آپ کا ذاتی ڈیٹا نہیں۔ Buy، Put back، یا Just looking پر ٹیپ کریں اور KiP وہ ٹیپ بارکوڈ اور ٹریفک لائٹ ریڈنگ کے ساتھ ScanSmart کو بھیج دیتا ہے۔ نہ نام، نہ مقام، اور نہ کوئی ایسی چیز جو آپ کی شناخت کرے۔ Settings → Privacy میں جا کر بند کریں۔,,"Zbieramy Twoje decyzje zakupowe, a nie dane osobowe. Dotknij Kupuję, Odkładam lub Tylko oglądam, a KiP przekaże to dotknięcie do ScanSmart wraz z kodem kreskowym i odczytem sygnalizacji świetlnej. Bez imienia, bez lokalizacji, bez niczego, co Cię identyfikuje. Wyłącz w Ustawieniach → Prywatność.",,"innerHTML; leading clause wrapped in <strong>, then <br>; first-scan disclaimer bar"
privacy.footer.shareLabel,js_template,,Share,شیئر کریں,,Udostępniaj,,"label next to privacy toggle checkbox, within innerHTML template literal"
additive.result.summary,js_template,,Dr RooT found {count} E number{plural} in this product.,Dr RooT کو اس پروڈکٹ میں {count} E نمبر{plural} ملے۔,,Dr RooT znalazł {count} numer{plural} E w tym produkcie.,,"plural is '' or 's' computed inline; base sentence of a concatenated message, further clauses appended at lines 1627 and 1630"
additive.result.summary.redCount,js_template,, {redCount} flagged red., {redCount} کو سرخ نشان زد کیا گیا۔,, {redCount} oznaczono na czerwono.,,appended to additive.result.summary via += (leading space intentional)
additive.result.summary.profileRelevant,js_template,, {count} relevant to your profile., {count} آپ کے پروفائل سے متعلق۔,, {count} istotnych dla Twojego profilu.,,appended to additive.result.summary via += (leading space intentional)
additive.result.warning.title,html_text,,E Numbers Detected,E نمبر مل گئے,,Wykryto numery E,,wrapped in <strong> inside built HTML string
additive.result.warning.cta,js_template,,"{msg} Tap ""Dr RooT - explain this to me"" for the full breakdown.","{msg} مکمل تفصیل کے لیے ""Dr RooT - explain this to me"" پر ٹیپ کریں۔",,"{msg} Dotknij „Dr RooT - wyjaśnij mi to”, aby zobaczyć pełną analizę.",,msg is the assembled summary sentence (additive.result.summary + appended clauses); the quoted 'Dr RooT - explain this to me' references a button label defined elsewhere
additive.risk.label.red,js_literal,,Avoid if possible,اگر ممکن ہو تو پرہیز کریں,,"Unikaj, jeśli to możliwe",,risk label shown when e.risk === 'red' (ternary)
additive.risk.label.amber,js_literal,,Worth knowing,جاننے کے قابل,,Warto wiedzieć,,risk label shown when e.risk === 'amber' (ternary)
additive.risk.label.green,js_literal,,No concern,کوئی تشویش نہیں,,Bez obaw,,risk label shown for green / default (ternary)
additive.card.profileFlag,js_template,,Relevant to your {profileName} profile,آپ کے {profileName} پروفائل سے متعلق,,Istotne dla Twojego profilu {profileName},,preceded by an inline warning SVG icon; profileName from profileLabel()
additive.decoder.summary.count.red,js_template,,{redCount} red,{redCount} سرخ,,{redCount} czerwone,,"inside a colored <span>; only the word 'red' is translatable, count is numeric"
additive.decoder.summary.count.amber,js_template,,{amberCount} amber,{amberCount} عنبری,,{amberCount} bursztynowe,,inside a colored <span>; only the word 'amber' is translatable
additive.decoder.summary.count.green,js_template,,{greenCount} green,{greenCount} سبز,,{greenCount} zielone,,inside a colored <span>; only the word 'green' is translatable
additive.decoder.summary,js_template,,{count} E number{plural} found: {breakdown}.,{count} E نمبر{plural} ملے: {breakdown}۔,,Znaleziono {count} numer{plural} E: {breakdown}.,,"breakdown is a comma-joined list of colored count spans built at lines 1681-1683, e.g. '<span ...>2 red</span>, <span ...>3 amber</span>, <span ...>1 green</span>'. The literal words 'red', 'amber', 'green' appear in those spans."
additive.decoder.summary.profileFlag,js_template,, {count} flagged for your {profileName} profile., {count} آپ کے {profileName} پروفائل کے لیے نشان زد۔,, {count} oznaczono dla Twojego profilu {profileName}.,,appended via +=; wrapped in <strong>; profileName from profileLabel(state.profile)
additive.decoder.header.title,html_text,,E Numbers Decoded,E نمبروں کی تشریح,,Numery E rozszyfrowane,,section header text node in built HTML
detail.salt.dataUnavailable,js_literal,,Data unavailable,ڈیٹا دستیاب نہیں,,Dane niedostępne,,Salt sachet visualisation fallback when saltPer100g is null; wrapped in styled span
detail.salt.perLabel,js_template,,{salt}g salt per 100g,{salt}g نمک فی 100g,,{salt}g soli na 100g,,salt = saltPer100g.toFixed(2); opens a div that the HIGH/MEDIUM/LOW badge is appended to
detail.level.high,js_template,,HIGH,زیادہ,,WYSOKA,,Appended to salt label when traffic-light = red; wrapped in coloured strong-style span. Same token reused for sugar (line 1961)
detail.level.medium,js_template,,MEDIUM,درمیانہ,,ŚREDNI,,Appended when traffic-light = amber; reused for sugar (line 1962)
detail.level.low,js_template,,LOW,کم,,NISKI,,Appended when traffic-light = green; reused for sugar (line 1963)
detail.salt.sachetEquiv,js_literal,,Each sachet = approximately 0.3g salt,ہر ساشے = تقریباً 0.3g نمک,,"Każda saszetka = około 0,3 g soli",,Sub-caption under the salt sachet row
detail.sugar.perLabel,js_template,,{sugar}g sugar per 100g,{sugar}g چینی فی 100g,,{sugar} g cukru na 100 g,,sugar = sugarPer100g.toFixed(1); HIGH/MEDIUM/LOW badge appended after
detail.sugar.spoonEquiv,js_literal,HEALTH-CHECK,Each spoon = 4g sugar (1 teaspoon),ہر چمچ = 4g چینی (1 چائے کا چمچ),,Każda łyżeczka = 4 g cukru (1 łyżeczka),,Sub-caption under the sugar spoon row
scanner.status.requesting,js_literal,,Requesting camera access...,کیمرے تک رسائی کی درخواست کی جا رہی ہے...,,Prośba o dostęp do aparatu...,,Scan status while calling getUserMedia
scanner.error.blocked,js_literal,,Camera blocked. On iOS: Settings → Safari → Camera → Allow. Then reload.,کیمرہ بلاک ہے۔ iOS پر: Settings ← Safari ← Camera ← Allow۔ پھر دوبارہ لوڈ کریں۔,,Aparat zablokowany. W iOS: Ustawienia → Safari → Aparat → Zezwól. Następnie odśwież.,,Shown on NotAllowedError/PermissionDeniedError; contains arrow characters
scanner.error.notFound,js_literal,,No camera found on this device.,اس ڈیوائس پر کوئی کیمرہ نہیں ملا۔,,Nie znaleziono aparatu na tym urządzeniu.,,Shown on NotFoundError/DevicesNotFoundError
scanner.error.notSupported,js_literal,,Camera not supported. Make sure you are using HTTPS.,کیمرہ سپورٹڈ نہیں ہے۔ یقینی بنائیں کہ آپ HTTPS استعمال کر رہے ہیں۔,,"Aparat nieobsługiwany. Upewnij się, że używasz HTTPS.",,Shown on NotSupportedError or missing mediaDevices
scanner.error.unavailable,js_template,,Camera unavailable: {detail},کیمرہ دستیاب نہیں: {detail},,Aparat niedostępny: {detail},,Generic camera error fallback; detail = e.message || e.name (browser-supplied)
scanner.error.playbackBlocked,js_literal,,Video playback blocked. Tap to resume.,ویڈیو پلے بیک بلاک ہے۔ دوبارہ شروع کرنے کے لیے ٹیپ کریں۔,,"Odtwarzanie wideo zablokowane. Dotknij, aby wznowić.",,Shown when video.play() rejects
scanner.status.barcodeDetected,js_template,,Barcode: {code},بارکوڈ: {code},,Kod kreskowy: {code},,Shown when a barcode is read; appears in both native-detector (line 2204) and ZXing (line ~2259) paths
scanner.status.loadingDecoder,js_literal,,Loading decoder...,ڈیکوڈر لوڈ ہو رہا ہے...,,Wczytywanie dekodera...,,Shown while loading ZXing fallback bundle
scanner.error.decoderFailed,js_literal,,Decoder failed to load. Use manual entry.,ڈیکوڈر لوڈ ہونے میں ناکام رہا۔ دستی اندراج استعمال کریں۔,,Nie udało się wczytać dekodera. Użyj ręcznego wprowadzania.,,Shown when ZXing bundle fails to load from all sources
scanner.status.barcodePrefix,js_template,,Barcode: {barcode},بارکوڈ: {barcode},,Kod kreskowy: {barcode},,Status text 'Barcode: ' + text; appears in native and zxing detect paths (also ~line 2360)
scanner.status.cameraUnavailable,js_literal,,Camera unavailable. Use manual entry below.,کیمرہ دستیاب نہیں۔ نیچے دستی اندراج استعمال کریں۔,,Aparat niedostępny. Użyj ręcznego wprowadzania poniżej.,,Set on #scan-status when camera fails
lookup.error.network,js_literal,,Network error. Check your connection and try again.,نیٹ ورک کی خرابی۔ اپنا کنکشن چیک کریں اور دوبارہ کوشش کریں۔,,Błąd sieci. Sprawdź połączenie i spróbuj ponownie.,,showError on fetch failure with no cache fallback
detail.product.fallback_name,js_literal,,This product,یہ پروڈکٹ,,Ten produkt,,"Default fallback product name used in the Sugar Detective alert when product_name is empty: escapeHtml(product.product_name || 'This product'). User-facing, appears in the rendered sentence."
detail.sugarDetective.title,js_template,,KiP's Sugar Detective,KiP کا شوگر ڈٹیکٹِو,,Cukrowy Detektyw KiP,,Inside buildSugarDetectiveAlert HTML; <strong> heading
detail.sugarDetective.body,js_template,,The label for {productName} may seem straightforward. But I found: {aliasList}. That's {count} {kindOrKinds} of sugar hiding in plain sight. Now you,{productName} کا لیبل سادہ لگ سکتا ہے۔ لیکن مجھے یہ ملا: {aliasList}۔ یہ چینی کی {count} {kindOrKinds} ہیں جو نظروں کے سامنے چھپی ہوئی ہیں۔ اب آپ,,Etykieta produktu {productName} może wydawać się prosta. Ale znalazłem: {aliasList}. To {count} {kindOrKinds} cukru ukrytych na widoku. Teraz ty,,Contains inline <strong> markup around aliasList and count; sentence appears truncated/cut off ('Now you ') in source. kindOrKinds = 'kind' (singular) / 'kinds' (plural) — see next two keys.
